School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Borough Name,Postcode,Latitude,Longitude
2015-16,M118,,154 WEST  93 STREET CONSOLIDATED LOCATION,,154 WEST  93 STREET,M,3,1115,154 WEST  93 STREET CONSOLIDATED LOCATION,3,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,MANHATTAN,10025,40.791728,-73.970845
2015-16,M121,04M038,P.S. 38 Roberto Clemente,M038,232 EAST 103 STREET,M,4,252,232 EAST 103 STREET CONSOLIDATED LOCATION,2,P.S. 38 Roberto Clemente|DREAM Charter School|232 EAST 103 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.788952,-73.944538
2015-16,M152,06M152,P.S. 152 Dyckman Valley,M152,93 NAGLE AVENUE,M,6,642,,1,P.S. 152 Dyckman Valley,MANHATTAN,10040,40.860412,-73.927936
2015-16,M121,,232 EAST 103 STREET CONSOLIDATED LOCATION,,232 EAST 103 STREET,M,4,744,232 EAST 103 STREET CONSOLIDATED LOCATION,2,P.S. 38 Roberto Clemente|DREAM Charter School|232 EAST 103 STREET CONSOLIDATED LOCATION,MANHATTAN,10029,40.788952,-73.944538
2015-16,M123,05M123,P.S. 123 Mahalia Jackson,M123,301 WEST 140 STREET,M,5,554,,2,P.S. 123 Mahalia Jackson I Success Academy Charter School Harlem 5,MANHATTAN,10030,40.819767,-73.944433
2015-16,M124,02M124,P.S. 124 Yung Wing,M124,40 DIVISION STREET,M,2,810,,1,P.S. 124 Yung Wing,MANHATTAN,10002,40.714201,-73.995087
2015-16,M125,05M125,P.S. 125 Ralph Bunche,M125,425 WEST 123 STREET,M,5,230,425 WEST 123 STREET CONSOLIDATED LOCATION,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.810431,-73.955809
2015-16,M125,05M362,Columbia Secondary School,M362,425 WEST 123 STREET,M,5,667,425 WEST 123 STREET CONSOLIDATED LOCATION,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.810431,-73.955809
2015-16,M125,05M362,KIPP STAR College Prep Charter School,M726,433 WEST 123 STREET,M,5,667,425 WEST 123 STREET CONSOLIDATED LOCATION,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.810511,-73.955997
2015-16,M125,,425 WEST 123 STREET CONSOLIDATED LOCATION,,433 WEST 123 STREET,M,5,1564,425 WEST 123 STREET CONSOLIDATED LOCATION,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,MANHATTAN,10027,40.810511,-73.955997
2015-16,M126,02M126,P.S. 126 Jacob August Riis,M126,80 CATHERINE STREET,M,2,759,,1,P.S. 126 Jacob August Riis,MANHATTAN,10038,40.710729,-73.996631
2015-16,M128,06M128,P.S. 128 Audubon,M128,560 WEST 169 STREET,M,6,631,560 WEST 169 STREET CONSOLIDATED LOCATION,2,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,MANHATTAN,10032,40.841321,-73.938506
2015-16,M128,06M513,Castle Bridge School,M513,560 WEST 169 STREET,M,6,193,560 WEST 169 STREET CONSOLIDATED LOCATION,2,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,MANHATTAN,10032,40.841321,-73.938506
2015-16,M128,,560 WEST 169 STREET CONSOLIDATED LOCATION,,560 WEST 169 STREET,M,6,824,560 WEST 169 STREET CONSOLIDATED LOCATION,2,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,MANHATTAN,10032,40.841321,-73.938506
2015-16,M129,05M129,P.S. 129 John H. Finley,M129,425 WEST 130 STREET,M,5,487,,1,P.S. 129 John H. Finley,MANHATTAN,10027,40.814637,-73.951912
2015-16,M130,02M130,P.S. 130 Hernando De Soto,M130,143 BAXTER STREET,M,2,970,,1,P.S. 130 Hernando De Soto,MANHATTAN,10013,40.718903,-73.998438
2015-16,M131,02M298,Pace High School,M298,100 HESTER STREET,M,2,478,100 HESTER STREET CONSOLIDATED LOCATION,3,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.716553,-73.993092
2015-16,M131,02M394,EMMA LAZARUS HIGH SCHOOL,M394,100 HESTER STREET,M,2,266,100 HESTER STREET CONSOLIDATED LOCATION,3,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,MANHATTAN,10002,40.716553,-73.993092
